学校-老师	课程名称	课程内容与评价,,,,,,
"9007-西安交通大学-俞炜华	经济学思维方式	""概述：经济学是一门观察真实世界的学问，本课程将用生动有趣对语言和真实的经济经济学故事引导学生如何用经济学的视角看世界。十年二十年后，几乎所有的具体知识都会被遗忘，能留下来的只有看问题的思维方式，这才是真正影响学生终生的东西，也是本课程想要传递给学生的。",,,,,,
"评价：课程丰富，编排紧凑，讲师优秀。""",,,,,,
"6001-浙江大学-陈越	数据结构	""概述：学了一门编程语言不知道能干啥？来学数据结构就对啦！ 学会编程相当于会砌猪圈的泥瓦匠，学完数据结构就会盖个双层小楼啦~ 同时还可以一窥构筑摩天大厦的奇门武功！ 欢迎勤奋的小白活泼乱入！十周修炼，得入门径，一代大侠，从此出发 —— 快来吧~ ^_^",,,,,,
"评价：只有我一个人觉得课后编程题和老师讲的根本不在一个难度级别吗QAQ 一杯茶一包烟 一道链表写一天""",,,,,,
"9018-北京师范大学-徐琳瑜	城市生态规划	""概述：城市化？太快！城市规划？太少！城市生态规划，刚刚好！以小区主任的饱满热情，专业解决各种城市发展与生态环境的矛盾纠纷。穿越时间、跨越空间，和你耳熟能详的城市重新相识，发现传说中的生态城市近在咫尺。生态规划，话说城会玩！ New~大家看过来，如何规避环境生态风险，虚拟仿真实验带你走起来！",,,,,,
"评价：之前学习过徐老师主编的《城市生态规划学》，现在对应教学视频再次温习了课程内容，而且老师更新了很多内容，添加了大量的具体案例，不论是教学还是对工作都有很大的指导作用！呈现形式上动画、图文并茂，深入浅出。制作非常用心，给徐老师点赞！""",,,,,,
"8012-东北大学-孙艳蕊	高等数学（二）	""概述：本课程介绍空间解析几何、多元函数微积分和常微分方程的基本知识，使学生掌握多元函数微积分的基本概念、基本方法和应用，会解基本的常微分方程，为后续课程的学习奠定基础。高等数学不仅为研究近代物理、力学、经济学、工程技术等问题提供重要方法和手段，同时也是进一步学习现代数学以及其它自然科学的基础，是现代科学的入门课程。",,,,,,
"评价：太好了，孩子说很喜欢，再也不来了""",,,,,,
"9007-西安交通大学-魏琳	医学伦理学	""概述：医学伦理学，是医学与伦理学的牵手。在珍爱生命、敬畏生命的伦理精神指引下，医学从洪荒时代冲破艰难险阻走到今天的现代医学。医生肩负着维护和促进人类生命健康的重任，优秀的医生必须是医德和医术的完美统一。医学伦理学，用伦理的眼透视人类所有的医学活动，它帮助我们，理解医学的人文性。",,,,,,
"评价：医生这个职业真的是靠信仰与热情支撑，才能走下去。医者仁心，学医前，第一件事就是学道，医者仁道，不易。""",,,,,,
"8015-华东师范大学-汪晓赞	体育与健康	""概述：体育是生活的重要组成部分，通过体育学习可促进身心健康，提升生活质量。目前，由于缺少体育与健康的学习资源，很多人想参与体育却不知如何参与。本课程旨于提供各类体育学习资源，让公众了解体育、欣赏体育、懂得体育、掌握基本的体育与健康知识(如体能、减肥、安全等)，成为具备体育与健康素养的人。",,,,,,
"评价：鸡你太美，全员龙鸣，搞慕课都是蔡徐坤""",,,,,,
"8003-上海交通大学-杜燕	法国语言文化入门	""概述：想去普罗旺斯沉醉于薰衣草花海的芳香；想去阿尔卑斯滑雪感受速度与激情；想去塞纳河边散步，香榭里舍林荫下低徊；想去埃菲尔铁塔下牵手，左岸咖啡里浅吟低酌......欢迎对浪漫之都法国和法语感兴趣的你！让我们跟随视频中的法国小哥哥小姐姐，从26个字母和发音开始奇妙的法语语言和文化之旅吧！欢迎加入国家级线上一流本科课程——《法国语言文化入门》！Bienvenue!",,,,,,
"评价：老师能不能把第一次的课再开一遍，想复习一下""",,,,,,
"153001-南昌工学院-王连英	电子线路仿真设计与实验实例	""概述：本课程，以基本电路设计制作与检测实例为主线，以最为流行的EDA 软件之一Multisim为辅助工具，编排设计了在“电路”、“模拟电子技术”、“数字电子技术”等电子电气类专业基础课程教学中的电子线路仿真设计与实验实例，以图实践所学知识的应用、激发学习兴趣、提高创新精神和实践能力及教学质量。",,,,,,
"评价：内容通俗易懂，知识丰富，非常喜欢听他的课，期待4月22号。～～南昌工学院焦杰""",,,,,,
"8008-吉林大学-包国章	人文视野中的生态学	""概述：为何我国的饮食文化特点是南甜北咸、东酸西辣？为何低纬度的人种长腿善跑、高纬度的人种人高马大？为何导致胡马度阴山更多的是天灾而非人祸？身土不二中的“身”如何依“土”而生、身土不可分离？弱小的r对策者如何与高大的K对策者分庭抗礼？纵观万物生灵，盘数天下人生，真可谓成也生态，败也生态！",,,,,,
"评价：通过学习我认识到中华民族向来尊重自然、热爱自然，绵延５０００多年的中华文明孕育着丰富的生态文化。我们要认真学习领会生态文明思想，坚持绿色发展理念，持之以恒推进生态文明建设，把伟大祖国建设得更加美丽，为子孙后代留下天更蓝、山更绿、水更清的优美环境，这是我们的责任，也是对人类的贡献。""",,,,,,
"53001-南京师范大学-顾荣芳	学前儿童健康教育	""概述：《学前儿童健康教育》是我国高校学前教育专业的必修课，《幼儿园教育指导纲要》及《3-6岁儿童学习与发展指南》都将健康教育列为五大领域之首。如您对幼儿园健康教育及健康区域活动、幼儿一日生活中的健康教育感兴趣，如您对0-6岁宝宝的安全、饮食、习惯、心理健康等问题感兴趣，就请立即开始学习吧！",,,,,,
"评价：课程作业设置有严重问题，每个问题都写着参见评分标准，但是答题时候看不见，写它干嘛？多此一举！另外有的看不见评分标准真没法答！不知道老师是不是先拟定评分标准，再随便编个题，从题目根本推不出来应该答些什么！""",,,,,,
"9008-华中科技大学-汪小燕	电子线路设计、测试与实验（一）	""概述：从基础做起，面向社会与行业实际要求，由国家级教学团队名师手把手引领电子线路设计与测试的学习及实践，培养电子技术应用的基本实验技能及电子系统的设计与创新能力。《电子线路设计、测试与实验》课程是你大学难忘的回忆，更是你职业人生辉煌的起点！",,,,,,
"评价：对于我们这些非全日制大学毕业的人来说，这些设备根本没有见过，或者平时见了也不认识。不怕你笑话，到现在为止我都没用过一次万用表，也没搭过一个面包板呢！！还参加了考研，为了加试的模电数电努力学习中。 这个课程太实用了！只学电路，模电，数电理论，连个电路都不会搭，理论脱离实际。有这课起码让我知道这些具体的东西怎么操作。 谢谢老师！""",,,,,,
"9008-华中科技大学-汪小燕	电子线路设计、测试与实验（二）	""概述：从基础做起，面向社会与行业实际要求，由国家级教学团队名师手把手引领电子线路设计与测试的学习及实践，培养电子技术应用的基本实验技能及电子系统的设计与创新能力。""""电子线路设计、测试与实验""""课程是你大学难忘的回忆，更是你职业人生辉煌的起点！",,,,,,
"评价：我觉得讲FPGA实验的老师念ppt念的很好，很官方，就是不接地气。""",,,,,,
"9014-四川大学-田汉文	太极拳医学	""概述：太极拳医学是从医学角度科学、系统、规范地阐释太极拳的医学作用及其机制，指导习练者进行符合医学规律的太极拳运动，防治疾病，减少损伤，提高技能。它是太极拳与医学相结合的交叉学科，涉及太极哲理、太极拳术、道家丹道养生学、中华传统医学和西方现代医学。终极目标：“增进健康、延年益寿！”",,,,,,
"评价：陈氏：架势宽大低沉，运动螺旋缠绕，震脚跳跃，内劲爆发如金； 杨氏：架势端庄舒展，均匀柔和，拳技柔中带刚，绵里藏针，内劲爆发如火； 武式：架势紧凑简洁，动作舒展，虚实分明； 吴式：架势小巧细腻，动作轻松自然，柔缓平和； 孙式：架高步活，转换轻盈，进退相随，开合运转。 简化太极拳是1958年国家在杨氏太极拳的基础上简化而成。""",,,,,,
"13001-北京大学-陈斌	人工智能与信息社会	""概述：本课程是教育部-微软产学合作协同育人项目成果，课程面向大学生和社会公众，结合社会热点和算法实践项目，介绍人工智能技术的基本概念、发展历史、经典算法、应用领域和对人类社会的深远影响，展示信息社会各领域中人工智能的应用发展前景，为大学生和社会公众提供一个深入理解人工智能的入门基础。",,,,,,
"评价：离散数学课就是跟着陈斌老师上的。这门课程算是AI简单入门，没什么理论（理论 的去其他mooc学），但真的可以扩展视野，对人工智能的整体情况做了大的汇报。同样精彩的是中间请到了很多微软亚洲研究院的大人物，我google他们的资料简历后真的很是敬佩。我们这代年轻人也要努力为未来扛起人工智能大梁而努力奋斗！""",,,,,,
"1001349001-西南政法大学-段文波	民事诉讼法学	""概述：民事纠纷是社会存在的一种普遍现象，如何解决民事纠纷并实现公平正义，是立法者、司法者和整个社会都必须加以认真对待的问题。那么通过怎样的方式和规则来解决纠纷才能实现公平正义呢？让《民事诉讼法学》来为您揭晓答案吧！本课程致力于研究民事诉讼法学的理论与实践，解析民事诉讼法的原理与规则。",,,,,,
"评价：课程非常棒！！！西政的老师们都非常认真负责，讲解细致，疯狂打call。网络学习的方式在时间和空间上少了许多限制，随时随地都可以网上学习，真正发挥我们学习的主观能动性。并且，学习的探究性更加深入，讨论区宽松的学习气氛使学生可以更好的发挥自己的聪明才智，相互帮助、促进，更好的解决问题。在网络背景下，学习是一种多向的信息交流活动，学生在获取不同的资源时可以进行比较，集思广益，相互之间取长补短，学习的知识也不再仅仅是书本上的死内容，而是更加灵活，取之有道。""",,,,,,
"109001-西安电子科技大学-孙万蓉	数字电路与系统设计	""概述：数字电子技术已经渗透到现代社会的各个领域，大到航空、航天，小到我们身边的手机和电器，数字电子技术改变了我们的生活方式。西安电子科技大学国家级精品课程“数字电路与系统设计”，将带你进入数字电子技术的世界，让你从一个数字电子产品的消费者成为一个设计者！",,,,,,
"评价：全网唯一一个讲卡诺图降维法的课""",,,,,,
"9019-中南大学-王一凡	大学化学(上)	""概述：在科学的海洋中，化学被誉为“中心科学”，因为它是众多学科之间的联系桥梁，并涉及人类生活的方方面面。是它为人类提供了最初走向文明的基础！也是它给现代社会以持续发展的动力！中南大学《大学化学》分为上、下两部分，授课注重科学性、系统性，力求深入浅出、通俗易懂，分别由王一凡、王微宏领衔。",,,,,,
"评价：个人觉得王一凡老师讲的比较好。这个平台也也很好，可以自主学习。谢谢讲课的所有老师，辛苦了。还有问答老师回复的也快""",,,,,,
"8013-同济大学-李镜培	基础工程设计原理	""概述：本课程为土木工程专业基础课。依托同济大学岩土工程国家重点学科的平台优势，课程建设历史悠久，课程教学资源和教学成果丰富，拥有上海市高校教师名师领衔的高水平教师队伍。本课程保持知识原理的系统性和原导性，遵循工程案例问题导向，重视实际问题解决能力培养。",,,,,,
"评价：同济大学地下系岩土方向开设的基础工程原理和土力学基础课程都是所有土木方向学生必修的课程，老师们授课条理清楚，结合工程实际，可以给同学们打下良好的基础。""",,,,,,
"75001-北京中医药大学-马文珠	针灸学导论	""概述：针灸学是祖国医学宝库中的璀璨明珠，在世界医学舞台上熠熠生辉。2010年联合国教科文组织将“中国针灸”列入“人类非物质文化遗产代表作名录”。本课程以名师领衔、视频演示、线上互动等形式，概述针灸历史，勾玄理论框架、点睛治疗手段，让我们亲近针灸、品味针灸、领悟针灸，共同进入多彩的针灸世界。",,,,,,
"评价：感 谢 信 《针灸学导论》MOOC教学团队：你们好！ 您们辛苦了！感谢您们两年来教育之恩！ 我虽然已把两年来学习心得十篇汇报完了。但是我不会忘记各位老师的教育之恩，当我按摩奇经八脉时，我就会想起赵百孝老师；教书育人的精神，做到了学以致用，让我记住了八脉和八穴、又做了保健按摩； 当我按摩足临泣治偏头痛时就会出现张莉老师的形象；当我循经取穴时就会想起是王燕平老师教会的；当我用阴跷、阳跷治失眠时，就会想起马文珠老师的桃李精神；当我想起针灸现代化...""",,,,,,
"9013-电子科技大学-唐珞	中国十大传统名曲赏析	""概述：中国传统音乐如诗如画，名曲多如天空中的繁星。十种中国乐器，十首中国乐曲，闻其声观其形，深入浅出地带你走进中国传统音乐。",,,,,,
"评价：听慕课，觉得自己的人生都有意义了。""",,,,,,
"9010-武汉大学-陈国恩	文学欣赏与批评	""概述：“文学欣赏与批评”是首批国家精品在线开放课程和国家一流本科课程。课程以经典为依托，审美为中心，与大家一起畅游文学的世界，重点提高我们的审美鉴赏能力，又以审美鉴赏的经验加深对文学批评环节的理解，达到理论知识的掌握和审美能力的提高相互促进的效果。 课程共六讲，由总计45个、时长近700分钟的教学视频构成。 欣赏的部分3讲，主要是追寻作家和诗人的审美之旅；批评部分3讲，探秘文学批评的踪迹。授课视频由专业公司与讲授者精诚合作，精心制作，包含深入浅出的精当讲解、丰富多彩的影视元素、赏心悦目的题板，再配上与教学内容相称的背景音乐，而非一镜到底的课堂录像。学习的过程，也是审美享受的过程。",,,,,,
"评价：全部刷完撒花！陈老师老师讲的文学批评很棒，但是没有讲义，我手快抄断了，实在受不了了，动用老本行知识用网页快捷键字幕提取的方法，自己做了讲义，具体方法看这个贴子鸭姐妹们！童叟无欺！ https://www.toutiao.com/i6814351771096318475/无门槛 | MOOC视频字幕提取【保姆级指南】在此，快别抄笔记啦！""",,,,,,
"8009-大连理工大学-赖晓晨	计算机组织与结构	""概述：本课程采用哈工大唐朔飞老师的《计算机组成原理》（第三版）授课，吸收了考研大纲内容及国外部分前沿知识。课程资源组织为教学视频、多媒体课件、课后习题、推荐阅读材料、实验手册等多种形式，力争用最简洁的方式讲清每一个知识点。 课程注重与产业界最新成果相融合，尤其是以ARM和RISC V处理器为基础衍生出的国内自主可控技术。自2021年起，本课程相继加入了教育部-华为“智能基座”精品慕课项目、“阿里飞天云精品慕课”项目，受到多项华为和阿里云的产学合作协同育人项目支持，融入了华为鲲鹏920处理器和TaiShan服务器、阿里平头哥玄铁E906处理器的相关知识。",,,,,,
"评价：计算机组成原理这门课我看了mooc里很多学校的课，感觉最好的就是大连理工和华中科技大学的，但华中科技大学前五章讲的还可以。而大连理工讲的十分接地气，通俗易懂，将课本的原话进行了直观的解释，使学生理解起来更容易，好评。加了背景音乐防止学生犯困，这是一个劳逸结合的好方式。""",,,,,,
"102001-浙江财经大学-钟晓敏	财政学	""概述：财政是国家治理的基础和重要支柱。你知道吗，财政，不是财务管理。你知道吗，政府的收支活动对经济社会发展有重要影响。你知道吗，我们每一个人都离不开财政。那么，你知道，什么是财政学吗？如果你想知道答案，那就加入我们的课程吧，一起来学习《财政学》！国家级教学团队，你值得拥有!",,,,,,
"评价：比我们北大的老师上课要好，喜欢网课的形式，更容易集中精力听课""",,,,,,
"9018-北京师范大学-毛建素	循环经济与可持续发展型企业	""概述：面对资源与环境挑战，以及国际形势巨变，引人进一步深思，如何基于中国现实，推动高质量持续发展？！ 《循环经济与可持续发展型企业》充分结合我国实际，从文、理、工多学科角度探求环境源头综合管理之路。 以专题研讨模式，突显复合型创新人才培养需求特色，集教、学、研、用、管于一体，助力提升家国情怀、科学素养和科研能力。 自 2024年春季学期， 修订如下：（1）面向党的二十大提出的新目标，将绿色低碳等内容融入研讨；（2）增补双碳管理、碳循环、物质与能量价值耦联、废弃物资源变化趋势等；（3）实时数据的更新。详见课程 PPT-2024版 适合学员自学，也适合高校选做线上线下混合教学中的线上资源。",,,,,,
"评价：可以，好，非常好""",,,,,,
"8004-中国海洋大学-王京平	德语语言学导论	""概述：本门课程是为大学本科阶段培养学生学术素质的启蒙课程，以索绪尔结构主义语言学为主线，展示科学的本质、构成要素及研究方法，同时立足于德语学习中常见的困难和需求，提供行之有效的学习方法。课程选材浅显易懂，辅助生动的双语实例，深入浅出地诠释抽象理论，为德语学习者揭开语言学神秘的面纱。 前九章为语言学基础知识部分，第十和十一章是本科毕业论文专题，针对选题和毕业论文写作过程中可能遇到的具体问题给出指导建议。这两章可以提前学习。",,,,,,
"评价：老师讲的真好""",,,,,,
"9004-天津大学-夏淑倩	化工热力学	""概述：化工热力学课程是化工学科的基础课，是分离工程、化工设计等课程的基础。天津大学的3名教授、2名副教授组成了强大的教学团队，全面解读课程的原理、概念、模型，通过典型应用分析化工热力学在工程中的应用。相信你在享受热力学逻辑美的同时，又能深刻体会其强大的应用功能。",,,,,,
"评价：很多地方听不清""",,,,,,
"1001224001-渤海大学-单凤儒	“互联网+”管理学	""概述：互联网（数字化）革命席卷全球，“互联网+”管理正在神州大地风起云涌。“互联网+”管理学就是拥抱互联网，探索管理与互联网融合与再造的管理学——这是本课程最大特色；“听故事，学管理”，实现理论情景化；突破传统教学方式：注重领悟，不背概念，重在践行，快乐学习，渗透生活。",,,,,,
"评价：内容很好，讲课的方式也很好。跨界思维心得：干掉高校的，不是教育部，而是慕课。五星支持。""",,,,,,
"1001293001-武汉科技大学-贺尊	创业学	""概述：创业是一种爱好、一种激情、一种艺术、一种科学，一种实践，更是一种生活方式和人生追求！学习《创业学》课程，是人们迎战双创时代的重要“装备”！",,,,,,
"评价：学有所悟！学有所得！学有所用！学有所创！""",,,,,,
"1001237004-南京中医药大学-薛博瑜	中医内科学	""概述：《中医内科学》是运用中医学理论和中医临床思维方法，阐述内科所属疾病的病因病机、辨证论治及预防康复规律的一门临床学科。本课程是中医学品牌专业的核心课程，是本科学生最先接触的临床主干课程，是桥接中医基础课程和其他临床课程，对学生中医临床思维构建和临床诊疗能力培养具有极为重要的意义。",,,,,,
"评价：高水平大学的中医教学，让我一个纯西医大夫受益匪浅，要坚持下来学习传统中医药""",,,,,,
"106001-中南财经政法大学-张广科	组织与人力资源管理	""概述：《组织与人力资源管理》着眼于最大程度调动员工的积极性、责任心和忠诚度为目标，从“组织、岗位、人”三要素及其匹配管理的全新视角，全面阐释现代组织中的组织管理、岗位管理、招聘与测评管理等九大领域的前沿管理理念和管理技术，为你打开组织管理、岗位管理和员工激励的另外一扇窗户！",,,,,,
"评价：作为主讲教师，我推荐各位在读、已工作，或准备换工作的学员选修本课程，并从自己的专业领域、所在行业、未来定位等视角思考“管理人”和“被管理”的方法和技术。从未来团队选拔、人才队伍建设、激励约束等视角了解人力资源管理的魅力。""",,,,,,
"8012-东北大学-杜宝贵	行政管理学	""概述：政府与民众应该是和谐共生的关系。理解政府的产生、发展、结构与功能，将利于我们更好地理解政府，正视特定环境与条件下的中国社会转型与制度转轨对政府提出的挑战。本课程不仅是对知识的传递与分享，更是对现实的剖析与思索。",,,,,,
"评价：建议有课件的文档，便于自学！既然是MOOC，就需要懂得分享。""",,,,,,
"9018-北京师范大学-瞿林东	史学名家的治史历程与方法	""概述：本课程为教育部人文社会科学重点研究基地北京师范大学史学理论与史学史研究中心主推慕课，建设历时三年之久。主要介绍了陈垣、刘乃和、白寿彝、何兹全及刘家和五位史学名家为人为师为学的历程，其中渗透了相关重要治史理论、思想和方法，对年轻一代学者具有极强的教化意义。",,,,,,
"评价：词汇匮乏，难以表述万一。诚然在‘表述不出来是因为理解不够透彻’这一点及‘即使理解透彻了但缺乏足够知识储备和文学素养以至于无法在表达上精确定义及描述’这两点上我是欣喜于自己独立思考总结出的这两点，能与诸前辈不谋而合。凡此种种，不胜枚举。因此更坚定了我的一个观点：人之所以最后会被冠以盛名，非因其身份、名字、地位种种，即莎士比亚有名并非因为他叫莎士比亚，虽然后人很容易犯的最大谬误之一就是以名声代其人，从而忽略本人要走到那一天，需要经过多少时间的磋磨及锤炼，多少事...""",,,,,,
"9018-北京师范大学-杨共乐	世界文明专题（古代部分）	""概述：文明从何而来，往何处去？是创造文明的人们必须深入思考的重大问题。古代文明是人类的创造，是人类智慧的结晶。学习古代文明可以修身明智，以史为镜，坦然面对错综复杂的外部环境，从纷扰中获得一丝宁静，从困境里看到新的希望。让我们一起走进本课程，览古今之变，品人文之美，求历史之真。",,,,,,
"评价：杨老师讲的真好，很有趣，不是历史系的学生但对历史方面就很感兴趣，自己去看书总有一些不懂的地方而脑子里的时间线发展方面很混乱，老师讲得让我的很多地方茅塞顿开，最喜欢老师不仅仅将知识，也将一些给我们的人生指导，大一的时间没有好好把握，错过了提升自己的机会，希望现在还不晚！""",,,,,,
"119002-湖南农业大学-夏石头	植物生理学	""概述：《植物生理学》课程寓教于问题与情景，揭秘与人类生活密切相关的植物生理，剖析生产实践中的热点与学科研究前沿问题，是植物生产与生物科学各专业的重要基础，倡导利用植物生理知识解决人类的“衣食住行”的理念，以实现人与自然和谐共处。",,,,,,
"评价：为什么要有截止时间""",,,,,,
"90002-大连海事大学-甘辉兵	轮机自动化	""概述：从三维虚拟仿真的视角，带您领略神秘的现代化大型商船的自动化机舱；通过反馈控制系统基本知识的简洁介绍，让您快速掌握分析机舱自动化系统的基本理论；通过机舱典型自动化系统的详细讲解，使您更加深刻掌握其精髓，以适应实船机舱自动化系统的管理工作。欢迎大家进入轮机自动化的学习。",,,,,,
"评价：我服了，如果照着书念也算精品课的话，那谁都可以去讲""",,,,,,
"9002-南京大学-李向东	宇宙简史	""概述：宇宙有多大？它从何而来又将归向何处？古老而又神秘的宇宙始终激发了人们无限好奇与想象。而宇宙如此广袤，人类又是如何认识和理解它的？“宇宙简史”课程，希望带给大家一次精神旅行，在这里既有知识和智慧的碰撞，也关照历史和人文的视野，更有全人类千百年来勇于探索、追求真理的精神力量的绽放。",,,,,,
"评价：我们头上的灿烂星空，果然如康德所言那般迷人，日月安属，列星安陈，我们在哪，我们是谁，天有多高，时间有多广袤，星光诉说着怎样的秘密，宇宙又面临着怎样的命运，跟随老师，让我们走进这一场宇宙之旅，去拥抱这旷世的孤独，或伟大的相遇。""",,,,,,
"8009-大连理工大学-王丹虹	现代工程制图（上）	""概述：数字化设计、智能化制造，3D打印技术迅猛发展，引发行业巨变。在新兴和传统制造业并存的时代，本课程在教学设计上考虑行业现状，与时俱进，训练学生正确的构形思维，适应现代设计方法和手段对图样表达的需求，为学生打下适应传统与现代设计和制造所需图学基础。",,,,,,
"评价：我觉得是我太愚拙了，不能正确领略老师所讲的内容，但我觉得老师讲的非常的棒棒，给老师点赞，但由于我的智商有限，所以学的很不好，我觉得我要挂科了。""",,,,,,
"161001-上海工程技术大学-匡江红	认识飞行	""概述：飞机为什么能够在蓝天上翱翔？飞机起飞、降落或者转弯时，会看到飞机的机翼上有一些翼面在动，这些可动翼面是起什么作用呢？操纵飞机在空中飞行和驾驶汽车在地面行驶在操作上有什么不同？气象条件对飞行究竟有怎样的影响？飞行员又是怎么和地面的管制人员取得联系的？本课程将为你揭开飞行神秘的面纱。",,,,,,
"评价：认识飞行是一个不断反复熟悉的过程，我现在正在西澳大利亚学习飞行，这个课程我已经跟着学习三四遍了，每次听，再结合实践都有进步。""",,,,,,
"8011-北京航空航天大学-李尚志	微积分启蒙	""概述：数学的重要主题是方程与函数。其中最简单的是一次方程与一次函数。宇宙没有这么简单",大量的是非匀速的运动和变化,需要研究非一次函数。怎样研究? 变成一次函数来研究。这就是微积分的“兵法”。在这个兵法指挥下发展出一整套“剑法”，就是微积分课程的主要内容。,,,,
"评价：李尚志教授学识渊博，语言幽默，以学生为中心，培养兴趣，启迪思维，开拓眼界，一代良师，难得难得！""",,,,,,
"52002-南昌大学-朱传喜	高等数学（一）	""概述：本课程以现代教育理念为指导，以培养高素质创新人才为目标，积极采用现代化教学手段，加强科研与教学紧密结合。2006年，本课程被评为国家精品课程。本课程把一流的教学理念，一流的师资，一流的教材，一流的教学管理，一流的服务提供给学子。如今，本课程作为一门很好的慕课呈现给大家，希望各位喜欢。",,,,,,
"评价：南昌大学以国家级教学名师朱传喜教授为核心的慕课团队，结合自身的多年高等数学教学经验呕心沥血制作的《高等数学》视频课程很有特色。首项是课程主讲教师讲课各具特色都值得学习，试题安排相对柔和有益于学生保持兴趣，讨论回答非常及时有助于巩固理解，唯一不足之处就是测试试题出现部分漏洞，希望日后能完善。最后，感谢南昌大学《高等数学》慕课团队给我们带来的这个礼物，同时祝愿《高等数学》慕课越来越完美！""",,,,,,
"8015-华东师范大学-管曙光	波动光学	""概述：作为最古老的一门基础学科，光学的发展贯穿了整个物理学史。人类对光的本性取得的每一次新认识都引发了物理学理论上的重要飞跃和技术上的重大应用，例如电磁波、X射线、激光等。至今，光学仍然是全球科技发展前沿最活跃的领域之一，具有强大的生命力和不可估量的发展前途。",,,,,,
"评价：看完最后一节课竟然有些不舍得，虽然可以重复看的。。管老师讲课非常好！条理清晰，重点难点层次分明，语言逻辑也很清晰，课件精简不繁琐，重点全都有，赘述一句都没有，而且管老师偶尔抛出一个小幽默生动有趣，我是光学研一在读的学生，到现在需要温习基础知识依然还会到这里来找相对应的章节！非常好！感谢遇见！希望老师们今后多多推出新的课程，我还会一如既往跟下来！""",,,,,,
"1001338001-宁波大学-汤志耘	好玩的广告学	""概述：需要推销商品的你，需要推销自己的你！ 学一点广告，让你的生活也更有创意！ 通俗有趣的方式讲解广告科学理论、专业知识拆解广告精彩案例。贴近现代受众的方式制作课程，微信公众平台延伸课堂，还有好听的广告音乐，还有业界大咖的独家专访。帮助专业学生成为优秀广告人，帮助普通人成为理性消费者。",,,,,,
"评价：很喜欢听，学业很忙，但每周都会听。我是小学生，但我基本上都能听懂，我喜欢这门课，也超爱这个老师。我还听过别的慕课，这个老师讲得最好。""",,,,,,
"104001-华中农业大学-李大鹏	动物生理学	""概述：动物，作为地球生物圈中主要的组成类群，展现出丰富多彩的生命现象。动物的生命活动不仅对维持生态平衡起着重要作用，还为人类社会发展提供了丰富的物质和精神资源。动物生命是如何开始，又如何进展的？通过课程的学习，让我们领略动物生命的精彩，探索奇妙的动物生理世界，了解生命的本质规律与机制。",,,,,,
"评价：从大三开始学习接触《动物生理学》，到现在研二已经有4年了，这期间陆陆续续学习过几次，每次都有不一样的收获。俗话说温故而知新，对于这门课每次见面都有一种老朋友新认识的新鲜感。每次也都能发现自己上次学习中的不足。我想，对于这门课的学习，不仅是一门知识的掌握，也是一种学习方式的了解。我相对新加入进来的学弟学妹们说，开心的来学吧，你会不虚此行哦。""",,,,,,
"8003-上海交通大学-孟和	生命科学发展史	""概述：《生命科学发展史》是面向全国高校本科生开设的通选课程和通识教育核心课程。其既适合于非生物专业本科生，也适合于生物学专业高年级本科生和研究生。",,,,,,
"评价：看第一节，老师盘点年度十大科学进展，只盘点到2013年，那是说本课件是2014年制作的吗？如果是这样，那有些太过陈旧了""",,,,,,
"104001-华中农业大学-江洪	有机化学	""概述：有机化学是研究有机化合物的组成、结构、性质、制备方法与应用的科学，是极具魅力的一门学科。屠呦呦的青蒿素为什么能拿诺贝尔奖？《绝命毒师》里的情景都是真的吗？无糖可乐怎么也是甜的，喝了还不长胖？听说会有机化学的人厨艺会更高？如果你对这些问题感兴趣，进入《有机化学》学习，一探究竟吧！",,,,,,
"评价：开头bgm能小一点就好了，耳机党爆炸""",,,,,,
"1001176001-爱课程-刘徽	走向深度的合作学习	""概述：合作学习（Cooperative Learning）被誉为“近十几年来最重要和最成功的教学改革”。本门课程采用案例教学法，针对当前合作学习课堂教学存在的问题，从如何设计小组任务、小组组建策略、合作学习方法、课堂实施策略和小组评价策略五部分出发，为教师提供系统的指导，帮助教师走向深度的合作学习。",,,,,,
"评价：合作学习是当前我国课程改革的热点话题，同时也是信息时代下课堂教学形态变革的必然趋势。但是对于合作学习，我还存在着诸多的困惑。希望能通过学习《走向深度的合作学习》帮助我了解合作学习的一些问题。教学有法、教无定法。也许我们不能具体设计每一堂课的合作学习方案，但是我能认真学习我们的课程，相信对我的教学有新的感悟，创造属于自己的合作课堂。""",,,,,,
"8009-大连理工大学-章艳	电子技术（电工学 下）	""概述：《电工学》课程于2003年被评为辽宁省首批精品课程，2014年被评为辽宁省精品资源共享课程，2018年评为国家精品在线开放课程。课程教学团队为辽宁省教学团队，年均授课学生2000余人。授课教材为本教研室编写，由高等教育出版社出版，目前已修订至第四版。该教材为国家级规划教材，辽宁省精品教材。",,,,,,
"评价：互评时间太长，浪费时间，视频看不懂老师还不讲。一个6分钟的视频看完就让做大题臣妾真的做不到。视频太短，老师一节课90分钟的内容，视频就20分钟，能一样吗，根本学不懂好吗。然后就让做题""",,,,,,
"9009-东南大学-陈美华	学术交流英语	""概述：你，英语笔试成绩优异，却无法在演讲台上妙语连珠…… 你，工作能力出众，却无法与国外同行深入交流…… 你，专业精湛，却无法在学术会议上陈述观点...... 这门课程可以为你找到突破口，帮助你搭建语言沟通的桥梁。来吧，请跟随我们步入这块“学术交流英语”的天地！",,,,,,
